id,job_title,job_title_cleaned,location_cleaned,role_level,bert_similarity,fitness_score,rank,is_starred
,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,"Houston, TX",executive,0.7468645,0.16956273,89,FALSE
,,human resourc generalist loparex,"Raleigh, NC",junior,0.7975513,0.16333349,90,FALSE
,,student indiana univers kokomo busi manag retail manag delphi hardwar paint,"Lafayette, IN",mid,0.55894035,0.11919649,91,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,92,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,93,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,94,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,95,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,96,FALSE
,,retir armi nation guard recruit offic manag seek posit human resourc,"Virginia Beach, VA",mid,0.66111857,0.085328184,97,FALSE
,,human resourc conflict manag polici procedur talent manag benefit compens,"Dallas, TX",junior,0.67524654,0.0801749,98,FALSE
,,seek human resourc opportun open travel reloc,United States,junior,0.70675325,0.07383129,99,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,100,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,101,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,102,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,103,FALSE
,,inform system specialist programm love data organ,"Gaithersburg, MD",mid,0.6224495,0,104,FALSE
